date,crop,location,price
2026-04-08,Tomato,Punjab,18.72
2026-04-08,Tomato,Gujarat,18.83
2026-04-08,Tomato,Uttar Pradesh,17.38
2026-04-08,Tomato,Madhya Pradesh,17.18
2026-04-08,Potato,Maharashtra,15.67
2026-04-08,Potato,Punjab,15.73
2026-04-08,Potato,Gujarat,15.43
2026-04-08,Potato,Uttar Pradesh,14.48
2026-04-08,Potato,Madhya Pradesh,14.02
2026-04-08,Cotton,Maharashtra,63.23
2026-04-08,Cotton,Punjab,61.13
2026-04-08,Cotton,Gujarat,62.05
2026-04-08,Cotton,Uttar Pradesh,59.35
2026-04-08,Cotton,Madhya Pradesh,57.05
2026-04-08,Soybean,Maharashtra,43.8
2026-04-08,Soybean,Punjab,43.32
2026-04-08,Soybean,Gujarat,43.25
2026-04-08,Soybean,Uttar Pradesh,40.73
2026-04-08,Soybean,Madhya Pradesh,39.43
2026-04-09,Wheat,Maharashtra,22.77
2026-04-09,Wheat,Punjab,22.63
2026-04-09,Wheat,Gujarat,23.01
2026-04-09,Wheat,Uttar Pradesh,21.54
2026-04-09,Wheat,Madhya Pradesh,20.52
2026-04-09,Rice,Maharashtra,68.29
2026-04-09,Rice,Punjab,66.95
2026-04-09,Rice,Gujarat,67.13
2026-04-09,Rice,Uttar Pradesh,64.32
2026-04-09,Rice,Madhya Pradesh,62.25
2026-04-09,Tomato,Maharashtra,18.29
2026-04-09,Tomato,Punjab,18.46
2026-04-09,Tomato,Gujarat,18.6
2026-04-09,Tomato,Uttar Pradesh,17.56
2026-04-09,Tomato,Madhya Pradesh,16.75
2026-04-09,Potato,Maharashtra,15.92
2026-04-09,Potato,Punjab,14.94
2026-04-09,Potato,Gujarat,15.42
2026-04-09,Potato,Uttar Pradesh,14.68
2026-04-09,Potato,Madhya Pradesh,14.73
2026-04-09,Cotton,Maharashtra,63.63
2026-04-09,Cotton,Punjab,61.21
2026-04-09,Cotton,Gujarat,62.05
2026-04-09,Cotton,Uttar Pradesh,58.71
2026-04-09,Cotton,Madhya Pradesh,57.64
2026-04-09,Soybean,Maharashtra,44.44
2026-04-09,Soybean,Punjab,42.61
2026-04-09,Soybean,Gujarat,43.37
2026-04-09,Soybean,Uttar Pradesh,41.24
2026-04-09,Soybean,Madhya Pradesh,39.52
2026-04-10,Wheat,Maharashtra,23.45
2026-04-10,Wheat,Punjab,22.56
2026-04-10,Wheat,Gujarat,23.02
2026-04-10,Wheat,Uttar Pradesh,21.67
2026-04-10,Wheat,Madhya Pradesh,20.48
2026-04-10,Rice,Maharashtra,68.28
2026-04-10,Rice,Punjab,66.02
2026-04-10,Rice,Gujarat,67.59
2026-04-10,Rice,Uttar Pradesh,64.27
2026-04-10,Rice,Madhya Pradesh,62.27
2026-04-10,Tomato,Maharashtra,18.54
2026-04-10,Tomato,Punjab,17.75
2026-04-10,Tomato,Gujarat,18.75
2026-04-10,Tomato,Uttar Pradesh,17.93
2026-04-10,Tomato,Madhya Pradesh,16.53
2026-04-10,Potato,Maharashtra,15.78
2026-04-10,Potato,Punjab,14.91
2026-04-10,Potato,Gujarat,15.75
2026-04-10,Potato,Uttar Pradesh,15.01
2026-04-10,Potato,Madhya Pradesh,13.92
2026-04-10,Cotton,Maharashtra,63.31
2026-04-10,Cotton,Punjab,61.58
2026-04-10,Cotton,Gujarat,61.89
2026-04-10,Cotton,Uttar Pradesh,59.49
2026-04-10,Cotton,Madhya Pradesh,57.23
2026-04-10,Soybean,Maharashtra,43.77
2026-04-10,Soybean,Punjab,42.84
2026-04-10,Soybean,Gujarat,43.45
2026-04-10,Soybean,Uttar Pradesh,40.82
2026-04-10,Soybean,Madhya Pradesh,39.67
2026-04-11,Wheat,Maharashtra,23.7
2026-04-11,Wheat,Punjab,22.69
2026-04-11,Wheat,Gujarat,22.7
2026-04-11,Wheat,Uttar Pradesh,21.68
2026-04-11,Wheat,Madhya Pradesh,20.62
2026-04-11,Rice,Maharashtra,68.24
2026-04-11,Rice,Punjab,66.39
2026-04-11,Rice,Gujarat,67.3
2026-04-11,Rice,Uttar Pradesh,63.68
2026-04-11,Rice,Madhya Pradesh,61.71
2026-04-11,Tomato,Maharashtra,18.26
2026-04-11,Tomato,Punjab,18.29
2026-04-11,Tomato,Gujarat,18.06
2026-04-11,Tomato,Uttar Pradesh,17.85
2026-04-11,Tomato,Madhya Pradesh,17.27
2026-04-11,Potato,Maharashtra,15.37
2026-04-11,Potato,Punjab,15.09
2026-04-11,Potato,Gujarat,15.67
2026-04-11,Potato,Uttar Pradesh,14.46
2026-04-11,Potato,Madhya Pradesh,13.93
2026-04-11,Cotton,Maharashtra,63.86
2026-04-11,Cotton,Punjab,61.68
2026-04-11,Cotton,Gujarat,62.18
2026-04-11,Cotton,Uttar Pradesh,59.48
2026-04-11,Cotton,Madhya Pradesh,57.69
2026-04-11,Soybean,Maharashtra,43.74
2026-04-11,Soybean,Punjab,42.39
2026-04-11,Soybean,Gujarat,43.14
2026-04-11,Soybean,Uttar Pradesh,41.03
2026-04-11,Soybean,Madhya Pradesh,39.82
2026-04-12,Wheat,Maharashtra,23.46
2026-04-12,Wheat,Punjab,22.74
2026-04-12,Wheat,Gujarat,23.27
2026-04-12,Wheat,Uttar Pradesh,21.28
2026-04-12,Wheat,Madhya Pradesh,20.92
2026-04-12,Rice,Maharashtra,68.4
2026-04-12,Rice,Punjab,66.97
2026-04-12,Rice,Gujarat,67.01
2026-04-12,Rice,Uttar Pradesh,63.68
2026-04-12,Rice,Madhya Pradesh,61.98
2026-04-12,Tomato,Maharashtra,18.57
2026-04-12,Tomato,Punjab,17.89
2026-04-12,Tomato,Gujarat,18.04
2026-04-12,Tomato,Uttar Pradesh,17.83
2026-04-12,Tomato,Madhya Pradesh,16.82
2026-04-12,Potato,Maharashtra,16.17
2026-04-12,Potato,Punjab,15.41
2026-04-12,Potato,Gujarat,15.06
2026-04-12,Potato,Uttar Pradesh,15.26
2026-04-12,Potato,Madhya Pradesh,14.64
2026-04-12,Cotton,Maharashtra,63.97
2026-04-12,Cotton,Punjab,62.12
2026-04-12,Cotton,Gujarat,62.64
2026-04-12,Cotton,Uttar Pradesh,58.94
2026-04-12,Cotton,Madhya Pradesh,57.44
2026-04-12,Soybean,Maharashtra,43.75
2026-04-12,Soybean,Punjab,42.68
2026-04-12,Soybean,Gujarat,42.76
2026-04-12,Soybean,Uttar Pradesh,40.98
2026-04-12,Soybean,Madhya Pradesh,40.33
2026-04-13,Wheat,Maharashtra,23.01
2026-04-13,Wheat,Punjab,22.87
2026-04-13,Wheat,Gujarat,22.76
2026-04-13,Wheat,Uttar Pradesh,21.62
2026-04-13,Wheat,Madhya Pradesh,21.49
2026-04-13,Rice,Maharashtra,69.11
2026-04-13,Rice,Punjab,66.71
2026-04-13,Rice,Gujarat,67.53
2026-04-13,Rice,Uttar Pradesh,63.7
2026-04-13,Rice,Madhya Pradesh,61.88
2026-04-13,Tomato,Maharashtra,19.07
2026-04-13,Tomato,Punjab,18.15
2026-04-13,Tomato,Gujarat,18.29
2026-04-13,Tomato,Uttar Pradesh,17.61
2026-04-13,Tomato,Madhya Pradesh,16.39
2026-04-13,Potato,Maharashtra,15.91
2026-04-13,Potato,Punjab,15.37
2026-04-13,Potato,Gujarat,15.87
2026-04-13,Potato,Uttar Pradesh,14.43
2026-04-13,Potato,Madhya Pradesh,14.78
2026-04-13,Cotton,Maharashtra,63.17
2026-04-13,Cotton,Punjab,61.46
2026-04-13,Cotton,Gujarat,62.47
2026-04-13,Cotton,Uttar Pradesh,59.52
2026-04-13,Cotton,Madhya Pradesh,57.27
2026-04-13,Soybean,Maharashtra,43.65
2026-04-13,Soybean,Punjab,43.16
2026-04-13,Soybean,Gujarat,42.93
2026-04-13,Soybean,Uttar Pradesh,41.19
2026-04-13,Soybean,Madhya Pradesh,39.95
2026-04-14,Wheat,Maharashtra,23.19
2026-04-14,Wheat,Punjab,22.69
2026-04-14,Wheat,Gujarat,22.85
2026-04-14,Wheat,Uttar Pradesh,22.15
2026-04-14,Wheat,Madhya Pradesh,20.76
2026-04-14,Rice,Maharashtra,68.89
2026-04-14,Rice,Punjab,66.45
2026-04-14,Rice,Gujarat,67.26
2026-04-14,Rice,Uttar Pradesh,64.26
2026-04-14,Rice,Madhya Pradesh,61.93
2026-04-14,Tomato,Maharashtra,18.38
2026-04-14,Tomato,Punjab,18.29
2026-04-14,Tomato,Gujarat,17.78
2026-04-14,Tomato,Uttar Pradesh,17.28
2026-04-14,Tomato,Madhya Pradesh,17.29
2026-04-14,Potato,Maharashtra,16.33
2026-04-14,Potato,Punjab,14.95
2026-04-14,Potato,Gujarat,15.25
2026-04-14,Potato,Uttar Pradesh,14.54
2026-04-14,Potato,Madhya Pradesh,14.76
2026-04-14,Cotton,Maharashtra,64.05
2026-04-14,Cotton,Punjab,62.23
2026-04-14,Cotton,Gujarat,62.33
2026-04-14,Cotton,Uttar Pradesh,59.08
2026-04-14,Cotton,Madhya Pradesh,57.94
2026-04-14,Soybean,Maharashtra,44.22
2026-04-14,Soybean,Punjab,42.87
2026-04-14,Soybean,Gujarat,43.66
2026-04-14,Soybean,Uttar Pradesh,41.24
2026-04-14,Soybean,Madhya Pradesh,39.33
2026-04-15,Wheat,Maharashtra,23.61
2026-04-15,Wheat,Punjab,22.42
2026-04-15,Wheat,Gujarat,23.01
2026-04-15,Wheat,Uttar Pradesh,22.18
2026-04-15,Wheat,Madhya Pradesh,20.71
2026-04-15,Rice,Maharashtra,68.34
2026-04-15,Rice,Punjab,66.37
2026-04-15,Rice,Gujarat,67.47
2026-04-15,Rice,Uttar Pradesh,63.91
2026-04-15,Rice,Madhya Pradesh,62.28
2026-04-15,Tomato,Maharashtra,18.74
2026-04-15,Tomato,Punjab,17.7
2026-04-15,Tomato,Gujarat,18.3
2026-04-15,Tomato,Uttar Pradesh,17.05
2026-04-15,Tomato,Madhya Pradesh,16.75
2026-04-15,Potato,Maharashtra,16.25
2026-04-15,Potato,Punjab,15.74
2026-04-15,Potato,Gujarat,15.13
2026-04-15,Potato,Uttar Pradesh,14.71
2026-04-15,Potato,Madhya Pradesh,14.11
2026-04-15,Cotton,Maharashtra,63.26
2026-04-15,Cotton,Punjab,62.21
2026-04-15,Cotton,Gujarat,62.68
2026-04-15,Cotton,Uttar Pradesh,59.27
2026-04-15,Cotton,Madhya Pradesh,57.93
2026-04-15,Soybean,Maharashtra,44.06
2026-04-15,Soybean,Punjab,42.68
2026-04-15,Soybean,Gujarat,42.68
2026-04-15,Soybean,Uttar Pradesh,40.65
2026-04-15,Soybean,Madhya Pradesh,40.2
2026-04-16,Wheat,Maharashtra,23.71
2026-04-16,Wheat,Punjab,22.69
2026-04-16,Wheat,Gujarat,23.2
2026-04-16,Wheat,Uttar Pradesh,21.84
2026-04-16,Wheat,Madhya Pradesh,20.74
2026-04-16,Rice,Maharashtra,68.4
2026-04-16,Rice,Punjab,66.62
2026-04-16,Rice,Gujarat,67.86
2026-04-16,Rice,Uttar Pradesh,64.49
2026-04-16,Rice,Madhya Pradesh,62.59
2026-04-16,Tomato,Maharashtra,18.88
2026-04-16,Tomato,Punjab,17.66
2026-04-16,Tomato,Gujarat,17.88
2026-04-16,Tomato,Uttar Pradesh,16.85
2026-04-16,Tomato,Madhya Pradesh,17.0
2026-04-16,Potato,Maharashtra,16.24
2026-04-16,Potato,Punjab,15.31
2026-04-16,Potato,Gujarat,15.67
2026-04-16,Potato,Uttar Pradesh,14.45
2026-04-16,Potato,Madhya Pradesh,14.77
2026-04-16,Cotton,Maharashtra,64.2
2026-04-16,Cotton,Punjab,62.49
2026-04-16,Cotton,Gujarat,62.93
2026-04-16,Cotton,Uttar Pradesh,59.97
2026-04-16,Cotton,Madhya Pradesh,57.28
2026-04-16,Soybean,Maharashtra,44.23
2026-04-16,Soybean,Punjab,42.57
2026-04-16,Soybean,Gujarat,43.59
2026-04-16,Soybean,Uttar Pradesh,41.36
2026-04-16,Soybean,Madhya Pradesh,40.17
2026-04-17,Wheat,Maharashtra,23.64
2026-04-17,Wheat,Punjab,22.43
2026-04-17,Wheat,Gujarat,23.17
2026-04-17,Wheat,Uttar Pradesh,21.38
2026-04-17,Wheat,Madhya Pradesh,21.48
2026-04-17,Rice,Maharashtra,69.19
2026-04-17,Rice,Punjab,66.58
2026-04-17,Rice,Gujarat,67.83
2026-04-17,Rice,Uttar Pradesh,64.2
2026-04-17,Rice,Madhya Pradesh,62.08
2026-04-17,Tomato,Maharashtra,18.73
2026-04-17,Tomato,Punjab,17.64
2026-04-17,Tomato,Gujarat,17.61
2026-04-17,Tomato,Uttar Pradesh,16.9
2026-04-17,Tomato,Madhya Pradesh,16.51
2026-04-17,Potato,Maharashtra,16.23
2026-04-17,Potato,Punjab,15.88
2026-04-17,Potato,Gujarat,15.34
2026-04-17,Potato,Uttar Pradesh,14.95
2026-04-17,Potato,Madhya Pradesh,14.25
2026-04-17,Cotton,Maharashtra,64.41
2026-04-17,Cotton,Punjab,62.13
2026-04-17,Cotton,Gujarat,63.15
2026-04-17,Cotton,Uttar Pradesh,59.28
2026-04-17,Cotton,Madhya Pradesh,58.31
2026-04-17,Soybean,Maharashtra,43.66
2026-04-17,Soybean,Punjab,43.19
2026-04-17,Soybean,Gujarat,42.91
2026-04-17,Soybean,Uttar Pradesh,40.66
2026-04-17,Soybean,Madhya Pradesh,39.73
2026-04-18,Wheat,Maharashtra,23.58
2026-04-18,Wheat,Punjab,22.5
2026-04-18,Wheat,Gujarat,23.01
2026-04-18,Wheat,Uttar Pradesh,21.81
2026-04-18,Wheat,Madhya Pradesh,21.01
2026-04-18,Rice,Maharashtra,68.96
2026-04-18,Rice,Punjab,66.67
2026-04-18,Rice,Gujarat,67.78
2026-04-18,Rice,Uttar Pradesh,63.79
2026-04-18,Rice,Madhya Pradesh,62.75
2026-04-18,Tomato,Maharashtra,18.43
2026-04-18,Tomato,Punjab,18.09
2026-04-18,Tomato,Gujarat,18.29
2026-04-18,Tomato,Uttar Pradesh,17.34
2026-04-18,Tomato,Madhya Pradesh,16.51
2026-04-18,Potato,Maharashtra,15.45
2026-04-18,Potato,Punjab,15.59
2026-04-18,Potato,Gujarat,15.4
2026-04-18,Potato,Uttar Pradesh,14.63
2026-04-18,Potato,Madhya Pradesh,14.71
2026-04-18,Cotton,Maharashtra,64.23
2026-04-18,Cotton,Punjab,61.98
2026-04-18,Cotton,Gujarat,62.6
2026-04-18,Cotton,Uttar Pradesh,59.65
2026-04-18,Cotton,Madhya Pradesh,57.81
2026-04-18,Soybean,Maharashtra,43.77
2026-04-18,Soybean,Punjab,42.34
2026-04-18,Soybean,Gujarat,43.06
2026-04-18,Soybean,Uttar Pradesh,41.48
2026-04-18,Soybean,Madhya Pradesh,39.96
2026-04-19,Wheat,Maharashtra,23.78
2026-04-19,Wheat,Punjab,22.82
2026-04-19,Wheat,Gujarat,22.73
2026-04-19,Wheat,Uttar Pradesh,21.86
2026-04-19,Wheat,Madhya Pradesh,20.65
2026-04-19,Rice,Maharashtra,68.72
2026-04-19,Rice,Punjab,66.89
2026-04-19,Rice,Gujarat,67.7
2026-04-19,Rice,Uttar Pradesh,64.49
2026-04-19,Rice,Madhya Pradesh,62.33
2026-04-19,Tomato,Maharashtra,18.3
2026-04-19,Tomato,Punjab,17.54
2026-04-19,Tomato,Gujarat,17.98
2026-04-19,Tomato,Uttar Pradesh,17.53
2026-04-19,Tomato,Madhya Pradesh,16.9
2026-04-19,Potato,Maharashtra,15.56
2026-04-19,Potato,Punjab,15.02
2026-04-19,Potato,Gujarat,15.6
2026-04-19,Potato,Uttar Pradesh,14.96
2026-04-19,Potato,Madhya Pradesh,14.21
2026-04-19,Cotton,Maharashtra,64.41
2026-04-19,Cotton,Punjab,62.51
2026-04-19,Cotton,Gujarat,63.04
2026-04-19,Cotton,Uttar Pradesh,59.54
2026-04-19,Cotton,Madhya Pradesh,57.69
2026-04-19,Soybean,Maharashtra,43.49
2026-04-19,Soybean,Punjab,42.45
2026-04-19,Soybean,Gujarat,43.1
2026-04-19,Soybean,Uttar Pradesh,41.38
2026-04-19,Soybean,Madhya Pradesh,39.35
2026-04-20,Wheat,Maharashtra,23.31
2026-04-20,Wheat,Punjab,22.86
2026-04-20,Wheat,Gujarat,22.64
2026-04-20,Wheat,Uttar Pradesh,22.03
2026-04-20,Wheat,Madhya Pradesh,21.16
2026-04-20,Rice,Maharashtra,68.73
2026-04-20,Rice,Punjab,67.17
2026-04-20,Rice,Gujarat,67.18
2026-04-20,Rice,Uttar Pradesh,64.64
2026-04-20,Rice,Madhya Pradesh,62.69
2026-04-20,Tomato,Maharashtra,17.92
2026-04-20,Tomato,Punjab,17.71
2026-04-20,Tomato,Gujarat,17.64
2026-04-20,Tomato,Uttar Pradesh,17.55
2026-04-20,Tomato,Madhya Pradesh,16.59
2026-04-20,Potato,Maharashtra,15.45
2026-04-20,Potato,Punjab,15.19
2026-04-20,Potato,Gujarat,15.94
2026-04-20,Potato,Uttar Pradesh,14.79
2026-04-20,Potato,Madhya Pradesh,14.68
2026-04-20,Cotton,Maharashtra,64.34
2026-04-20,Cotton,Punjab,62.83
2026-04-20,Cotton,Gujarat,63.05
2026-04-20,Cotton,Uttar Pradesh,60.35
2026-04-20,Cotton,Madhya Pradesh,58.46
2026-04-20,Soybean,Maharashtra,44.07
2026-04-20,Soybean,Punjab,42.92
2026-04-20,Soybean,Gujarat,43.12
2026-04-20,Soybean,Uttar Pradesh,41.35
2026-04-20,Soybean,Madhya Pradesh,39.81
2026-04-21,Wheat,Maharashtra,23.81
2026-04-21,Wheat,Punjab,22.99
2026-04-21,Wheat,Gujarat,22.94
2026-04-21,Wheat,Uttar Pradesh,21.61
2026-04-21,Wheat,Madhya Pradesh,20.93
2026-04-21,Rice,Maharashtra,69.18
2026-04-21,Rice,Punjab,67.33
2026-04-21,Rice,Gujarat,67.74
2026-04-21,Rice,Uttar Pradesh,64.56
2026-04-21,Rice,Madhya Pradesh,62.24
2026-04-21,Tomato,Maharashtra,17.85
2026-04-21,Tomato,Punjab,17.53
2026-04-21,Tomato,Gujarat,17.69
2026-04-21,Tomato,Uttar Pradesh,16.87
2026-04-21,Tomato,Madhya Pradesh,16.57
2026-04-21,Potato,Maharashtra,15.55
2026-04-21,Potato,Punjab,15.18
2026-04-21,Potato,Gujarat,15.8
2026-04-21,Potato,Uttar Pradesh,15.05
2026-04-21,Potato,Madhya Pradesh,13.96
2026-04-21,Cotton,Maharashtra,64.17
2026-04-21,Cotton,Punjab,62.47
2026-04-21,Cotton,Gujarat,62.95
2026-04-21,Cotton,Uttar Pradesh,59.68
2026-04-21,Cotton,Madhya Pradesh,58.06
2026-04-21,Soybean,Maharashtra,44.35
2026-04-21,Soybean,Punjab,42.77
2026-04-21,Soybean,Gujarat,43.3
2026-04-21,Soybean,Uttar Pradesh,41.37
2026-04-21,Soybean,Madhya Pradesh,40.02
2026-04-22,Wheat,Maharashtra,23.32
2026-04-22,Wheat,Punjab,22.27
2026-04-22,Wheat,Gujarat,22.84
2026-04-22,Wheat,Uttar Pradesh,22.13
2026-04-22,Wheat,Madhya Pradesh,21.56
2026-04-22,Rice,Maharashtra,69.54
2026-04-22,Rice,Punjab,67.04
2026-04-22,Rice,Gujarat,68.02
2026-04-22,Rice,Uttar Pradesh,64.53
2026-04-22,Rice,Madhya Pradesh,62.61
2026-04-22,Tomato,Maharashtra,17.95
2026-04-22,Tomato,Punjab,17.43
2026-04-22,Tomato,Gujarat,17.82
2026-04-22,Tomato,Uttar Pradesh,16.54
2026-04-22,Tomato,Madhya Pradesh,16.33
2026-04-22,Potato,Maharashtra,16.1
2026-04-22,Potato,Punjab,15.37
2026-04-22,Potato,Gujarat,15.28
2026-04-22,Potato,Uttar Pradesh,14.82
2026-04-22,Potato,Madhya Pradesh,14.03
2026-04-22,Cotton,Maharashtra,64.47
2026-04-22,Cotton,Punjab,62.03
2026-04-22,Cotton,Gujarat,63.01
2026-04-22,Cotton,Uttar Pradesh,60.12
2026-04-22,Cotton,Madhya Pradesh,57.74
2026-04-22,Soybean,Maharashtra,44.07
2026-04-22,Soybean,Punjab,42.31
2026-04-22,Soybean,Gujarat,43.06
2026-04-22,Soybean,Uttar Pradesh,40.55
2026-04-22,Soybean,Madhya Pradesh,39.63
2026-04-23,Wheat,Maharashtra,23.17
2026-04-23,Wheat,Punjab,22.61
2026-04-23,Wheat,Gujarat,23.27
2026-04-23,Wheat,Uttar Pradesh,21.77
2026-04-23,Wheat,Madhya Pradesh,21.48
2026-04-23,Rice,Maharashtra,69.47
2026-04-23,Rice,Punjab,66.92
2026-04-23,Rice,Gujarat,67.41
2026-04-23,Rice,Uttar Pradesh,64.05
2026-04-23,Rice,Madhya Pradesh,62.6
2026-04-23,Tomato,Maharashtra,18.69
2026-04-23,Tomato,Punjab,17.52
2026-04-23,Tomato,Gujarat,17.99
2026-04-23,Tomato,Uttar Pradesh,17.25
2026-04-23,Tomato,Madhya Pradesh,16.61
2026-04-23,Potato,Maharashtra,16.18
2026-04-23,Potato,Punjab,15.92
2026-04-23,Potato,Gujarat,15.32
2026-04-23,Potato,Uttar Pradesh,14.39
2026-04-23,Potato,Madhya Pradesh,14.06
2026-04-23,Cotton,Maharashtra,64.05
2026-04-23,Cotton,Punjab,62.76
2026-04-23,Cotton,Gujarat,63.26
2026-04-23,Cotton,Uttar Pradesh,59.85
2026-04-23,Cotton,Madhya Pradesh,58.49
2026-04-23,Soybean,Maharashtra,44.19
2026-04-23,Soybean,Punjab,42.33
2026-04-23,Soybean,Gujarat,43.19
2026-04-23,Soybean,Uttar Pradesh,41.24
2026-04-23,Soybean,Madhya Pradesh,39.35
2026-04-24,Wheat,Maharashtra,23.8
2026-04-24,Wheat,Punjab,23.27
2026-04-24,Wheat,Gujarat,22.64
2026-04-24,Wheat,Uttar Pradesh,21.44
2026-04-24,Wheat,Madhya Pradesh,21.05
2026-04-24,Rice,Maharashtra,69.37
2026-04-24,Rice,Punjab,67.68
2026-04-24,Rice,Gujarat,67.77
2026-04-24,Rice,Uttar Pradesh,64.8
2026-04-24,Rice,Madhya Pradesh,62.18
2026-04-24,Tomato,Maharashtra,18.33
2026-04-24,Tomato,Punjab,17.75
2026-04-24,Tomato,Gujarat,17.4
2026-04-24,Tomato,Uttar Pradesh,17.21
2026-04-24,Tomato,Madhya Pradesh,16.77
2026-04-24,Potato,Maharashtra,16.04
2026-04-24,Potato,Punjab,15.1
2026-04-24,Potato,Gujarat,16.12
2026-04-24,Potato,Uttar Pradesh,15.16
2026-04-24,Potato,Madhya Pradesh,14.27
2026-04-24,Cotton,Maharashtra,64.44
2026-04-24,Cotton,Punjab,62.54
2026-04-24,Cotton,Gujarat,63.29
2026-04-24,Cotton,Uttar Pradesh,60.05
2026-04-24,Cotton,Madhya Pradesh,58.72
2026-04-24,Soybean,Maharashtra,44.23
2026-04-24,Soybean,Punjab,42.26
2026-04-24,Soybean,Gujarat,43.54
2026-04-24,Soybean,Uttar Pradesh,41.12
2026-04-24,Soybean,Madhya Pradesh,40.06
2026-04-25,Wheat,Maharashtra,23.71
2026-04-25,Wheat,Punjab,22.76
2026-04-25,Wheat,Gujarat,23.29
2026-04-25,Wheat,Uttar Pradesh,22.4
2026-04-25,Wheat,Madhya Pradesh,21.03
2026-04-25,Rice,Maharashtra,69.56
2026-04-25,Rice,Punjab,67.31
2026-04-25,Rice,Gujarat,67.91
2026-04-25,Rice,Uttar Pradesh,64.57
2026-04-25,Rice,Madhya Pradesh,62.88
2026-04-25,Tomato,Maharashtra,17.87
2026-04-25,Tomato,Punjab,17.94
2026-04-25,Tomato,Gujarat,18.09
2026-04-25,Tomato,Uttar Pradesh,16.48
2026-04-25,Tomato,Madhya Pradesh,16.76
2026-04-25,Potato,Maharashtra,15.69
2026-04-25,Potato,Punjab,15.46
2026-04-25,Potato,Gujarat,15.76
2026-04-25,Potato,Uttar Pradesh,14.77
2026-04-25,Potato,Madhya Pradesh,13.96
2026-04-25,Cotton,Maharashtra,64.95
2026-04-25,Cotton,Punjab,62.43
2026-04-25,Cotton,Gujarat,63.08
2026-04-25,Cotton,Uttar Pradesh,60.59
2026-04-25,Cotton,Madhya Pradesh,58.28
2026-04-25,Soybean,Maharashtra,44.28
2026-04-25,Soybean,Punjab,42.85
2026-04-25,Soybean,Gujarat,42.84
2026-04-25,Soybean,Uttar Pradesh,40.48
2026-04-25,Soybean,Madhya Pradesh,40.17
